ticker,name,naver_tab,asset_class,risk_type,region,nav,market_cap_억,return_3m_pct
0061Z0,RISE 단기특수은행채액티브,6,bond_money_market,안전자산,KRX,50354.0,14507,0.6396
315930,KODEX Top5PlusTR,2,domestic_theme,위험자산,KRX,60389.0,14216,42.9446
487230,KODEX 미국AI전력핵심인프라,4,overseas_equity,위험자산,USA,19984.0,13885,14.3569
0072R0,TIGER KRX금현물,5,commodity,위험자산,KRX,14125.0,13884,-3.1879
105190,ACE 200,1,domestic_equity,위험자산,KRX,83846.0,13418,38.4338
379780,RISE 미국S&P500,4,overseas_equity,위험자산,USA,21304.0,13354,-3.64
371460,TIGER 차이나전기차SOLACTIVE,4,overseas_equity,위험자산,China,13306.0,12917,5.8994
152100,PLUS 200,1,domestic_equity,위험자산,KRX,84742.0,12736,38.341
368590,RISE 미국나스닥100,4,overseas_equity,위험자산,USA,26680.0,12325,-4.6118
144600,KODEX 은선물(H),5,commodity,위험자산,KRX,11429.0,11879,-12.3425
0139F0,TIGER 12월자동연장금융채(AA-이상)액티브,6,bond_money_market,안전자산,KRX,100833.0,11851,0.654
456600,TIME 글로벌AI인공지능액티브,4,overseas_equity,위험자산,Global,42590.0,11691,17.2143
436140,SOL 종합채권(AA-이상)액티브,6,bond_money_market,안전자산,KRX,108096.0,11589,-2.143
457480,ACE 테슬라밸류체인액티브,4,overseas_equity,위험자산,Other_Overseas,20561.0,11245,-15.6999
305540,TIGER 2차전지테마,2,domestic_theme,위험자산,KRX,20170.0,11167,6.6405
157450,TIGER 단기통안채,6,bond_money_market,안전자산,KRX,111298.0,11051,0.5238
426030,TIME 미국나스닥100액티브,4,overseas_equity,위험자산,USA,39097.0,10860,7.6038
448330,KODEX 삼성전자채권혼합,1,domestic_equity,위험자산,KRX,15295.0,10828,17.3165
455850,SOL AI반도체소부장,2,domestic_theme,위험자산,KRX,26600.0,10692,56.7551
451540,TIGER 종합채권(AA-이상)액티브,6,bond_money_market,안전자산,KRX,53944.0,10591,-2.2069
356540,ACE 종합채권(AA-이상)액티브,6,bond_money_market,안전자산,KRX,103107.0,10432,-2.0021
446770,ACE 글로벌반도체TOP4 Plus,4,overseas_equity,위험자산,Global,57946.0,10382,23.9958
0163Y0,KoAct 코스닥액티브,1,domestic_equity,위험자산,KRX,12401.0,10108,
469830,SOL 초단기채권액티브,6,bond_money_market,안전자산,KRX,53589.0,10016,0.7805
445290,KODEX 로봇액티브,2,domestic_theme,위험자산,KRX,31311.0,9878,16.6988
102970,KODEX 증권,2,domestic_theme,위험자산,KRX,25275.0,9629,65.3671
465580,ACE 미국빅테크TOP7 Plus,4,overseas_equity,위험자산,USA,21476.0,9596,-8.2266
466940,TIGER 은행고배당플러스TOP10,2,domestic_theme,위험자산,KRX,24574.0,9580,14.8644
494890,KODEX 200액티브,1,domestic_equity,위험자산,KRX,24085.0,9559,38.0957
139260,TIGER 200 IT,2,domestic_theme,위험자산,KRX,83826.0,9282,52.7535
438080,ACE 미국S&P500미국채혼합50액티브,7,mixed_bond,안전자산,KRX,13941.0,9158,-0.9044
446720,SOL 미국배당다우존스,4,overseas_equity,위험자산,USA,13224.0,9060,11.6817
479080,1Q 머니마켓액티브,6,bond_money_market,안전자산,KRX,52996.0,8805,0.7701
371160,TIGER 차이나항셍테크,4,overseas_equity,위험자산,China,7896.0,8613,-13.4542
091230,TIGER 반도체,2,domestic_theme,위험자산,KRX,105115.0,8603,69.363
226490,KODEX 코스피,1,domestic_equity,위험자산,KRX,57327.0,8467,32.5589
497570,TIGER 미국필라델피아AI반도체나스닥,4,overseas_equity,위험자산,USA,16985.0,8401,6.3239
494670,TIGER 조선TOP10,2,domestic_theme,위험자산,KRX,26924.0,8245,-4.6118
390390,KODEX 미국반도체,4,overseas_equity,위험자산,USA,39878.0,8192,8.4621
434730,HANARO 원자력iSelect,2,domestic_theme,위험자산,KRX,67787.0,8160,40.1619
463250,TIGER K방산&우주,2,domestic_theme,위험자산,KRX,44090.0,8114,43.1691
479520,RISE KOFR금리액티브(합성),6,bond_money_market,안전자산,KRX,105156.0,8113,0.6219
495050,RISE 코리아밸류업,1,domestic_equity,위험자산,KRX,24841.0,7825,42.4314
402970,ACE 미국배당다우존스,4,overseas_equity,위험자산,USA,14654.0,7787,11.6745
462010,TIGER 2차전지소재Fn,2,domestic_theme,위험자산,KRX,6470.0,7614,9.5581
272580,TIGER 단기채권액티브,6,bond_money_market,안전자산,KRX,56419.0,7607,0.6423
487340,ACE 머니마켓액티브,6,bond_money_market,안전자산,KRX,104265.0,7334,0.783
153130,KODEX 단기채권,6,bond_money_market,안전자산,KRX,113267.0,7305,0.5172
251600,PLUS 고배당주채권혼합,7,mixed_bond,안전자산,KRX,15585.0,7274,8.4003
444200,SOL 코리아메가테크액티브,2,domestic_theme,위험자산,KRX,42589.0,7146,33.8821
138540,TIGER 현대차그룹플러스,2,domestic_theme,위험자산,KRX,57712.0,7083,34.8914
0091P0,TIGER 코리아원자력,2,domestic_theme,위험자산,KRX,21464.0,7035,105.1282
449180,KODEX 미국S&P500(H),4,overseas_equity,위험자산,USA,14838.0,6968,-6.2401
438330,TIGER 우량회사채액티브,6,bond_money_market,안전자산,KRX,114605.0,6921,-1.1253
237350,KODEX 코스피100,1,domestic_equity,위험자산,KRX,66065.0,6875,40.0043
441800,TIME Korea플러스배당액티브,1,domestic_equity,위험자산,KRX,26865.0,6666,37.5809
456610,TIGER 미국달러SOFR금리액티브(합성),6,bond_money_market,안전자산,KRX,63840.0,6558,3.0739
455030,KODEX 미국달러SOFR금리액티브(합성),6,bond_money_market,안전자산,KRX,12861.0,6528,2.9549
0162Z0,RISE 삼성전자SK하이닉스채권혼합50,7,mixed_bond,안전자산,KRX,10160.0,6262,
495850,KODEX 코리아밸류업,1,domestic_equity,위험자산,KRX,24746.0,6213,42.5429
385560,RISE KIS국고채30년Enhanced,6,bond_money_market,안전자산,KRX,62405.0,6139,-9.9307
0048J0,KODEX 미국머니마켓액티브,6,bond_money_market,안전자산,KRX,14965.0,6073,3.0566
438100,ACE 미국나스닥100미국채혼합50액티브,7,mixed_bond,안전자산,KRX,14750.0,6071,-1.3185
447770,TIGER 테슬라채권혼합Fn,7,mixed_bond,안전자산,KRX,14389.0,6069,-9.2827
0127P0,ACE 미국대형성장주액티브,4,overseas_equity,위험자산,USA,9581.0,6059,-8.2649
314250,KODEX 미국빅테크10(H),4,overseas_equity,위험자산,USA,49053.0,6040,-12.2569
462900,KoAct 바이오헬스케어액티브,2,domestic_theme,위험자산,KRX,23394.0,6036,2.1095
0105E0,SOL 코리아고배당,2,domestic_theme,위험자산,KRX,12953.0,5895,18.9242
0117V0,TIGER 코리아AI전력기기TOP3플러스,2,domestic_theme,위험자산,KRX,17506.0,5890,40.8055
069660,KIWOOM 200,1,domestic_equity,위험자산,KRX,83323.0,5874,39.1478
458250,TIGER 미국30년국채스트립액티브(합성 H),6,bond_money_market,안전자산,KRX,37479.0,5858,-3.2394
484790,KODEX 미국30년국채액티브(H),6,bond_money_market,안전자산,KRX,8693.0,5832,-1.9992
0025N0,TIGER TDF2045,7,mixed_bond,안전자산,KRX,11425.0,5799,-2.6773
476800,KODEX 한국부동산리츠인프라,7,mixed_bond,안전자산,KRX,4847.0,5743,1.3482
0131V0,1Q 미국우주항공테크,4,overseas_equity,위험자산,USA,12399.0,5737,-12.0509
364980,TIGER 2차전지TOP10,2,domestic_theme,위험자산,KRX,10225.0,5707,4.7278
091180,KODEX 자동차,2,domestic_theme,위험자산,KRX,30871.0,5366,23.9797
0148J0,TIGER 코리아휴머노이드로봇산업,2,domestic_theme,위험자산,KRX,11459.0,5334,
114260,KODEX 국고채3년,6,bond_money_market,안전자산,KRX,61269.0,5269,-0.9001
0162Y0,TIME 코스닥액티브,1,domestic_equity,위험자산,KRX,11398.0,5250,
293180,HANARO 200,1,domestic_equity,위험자산,KRX,83664.0,5193,38.3357
473290,KODEX 26-12 회사채(AA-이상)액티브,6,bond_money_market,안전자산,KRX,10756.0,5125,0.5137
469150,ACE AI반도체TOP3+,2,domestic_theme,위험자산,KRX,46930.0,4969,78.973
0080G0,KODEX 방산TOP10,2,domestic_theme,위험자산,KRX,13223.0,4940,27.3863
471230,KODEX 국고채10년액티브,6,bond_money_market,안전자산,KRX,105888.0,4882,-2.8799
477050,PLUS 머니마켓액티브,6,bond_money_market,안전자산,KRX,52745.0,4881,0.7738
491010,TIGER 글로벌AI전력인프라액티브,4,overseas_equity,위험자산,Global,23441.0,4879,19.5877
270810,RISE 코스닥150,1,domestic_equity,위험자산,KRX,19369.0,4870,24.1458
0052D0,TIGER 코리아배당다우존스,2,domestic_theme,위험자산,KRX,15805.0,4852,16.3121
434060,KODEX TDF2050액티브,7,mixed_bond,안전자산,KRX,16211.0,4849,-2.3374
480260,TIGER 27-04회사채(A+이상)액티브,6,bond_money_market,안전자산,KRX,53246.0,4820,0.0282
251350,KODEX MSCI선진국,4,overseas_equity,위험자산,Global,36570.0,4752,-3.1862
329750,TIGER 미국달러단기채권액티브,6,bond_money_market,안전자산,KRX,13963.0,4716,2.8415
091170,KODEX 은행,2,domestic_theme,위험자산,KRX,14641.0,4614,14.6651
315960,RISE 대형고배당10TR,2,domestic_theme,위험자산,KRX,57517.0,4600,49.2173
469070,RISE AI&로봇,2,domestic_theme,위험자산,KRX,14510.0,4594,6.4954
489250,KODEX 미국배당다우존스,4,overseas_equity,위험자산,USA,12416.0,4553,11.443
148070,KIWOOM 국고채10년,6,bond_money_market,안전자산,KRX,106341.0,4543,-2.6381
449190,KODEX 미국나스닥100(H),4,overseas_equity,위험자산,USA,18403.0,4542,-7.3008
471990,KODEX AI반도체핵심장비,2,domestic_theme,위험자산,KRX,25734.0,4532,65.4438
454780,KIWOOM 종합채권(AA-이상)액티브,6,bond_money_market,안전자산,KRX,101767.0,4427,-2.2366
463050,TIME K바이오액티브,2,domestic_theme,위험자산,KRX,19854.0,4397,4.4977
448290,TIGER 미국S&P500(H),4,overseas_equity,위험자산,USA,15404.0,4371,-6.2557
451000,PLUS 종합채권(AA-이상)액티브,6,bond_money_market,안전자산,KRX,109387.0,4320,-1.8502
499660,TIGER CD금리플러스액티브(합성),7,mixed_bond,안전자산,KRX,1002113.0,4296,0.687
132030,KODEX 골드선물(H),5,commodity,위험자산,KRX,25048.0,4200,-6.8374
365780,ACE 국고채10년,6,bond_money_market,안전자산,KRX,83906.0,4123,-2.7197
496080,TIGER 코리아밸류업,1,domestic_equity,위험자산,KRX,24809.0,4100,41.8935
0007F0,KODEX 27-12 회사채(AA-이상)액티브,6,bond_money_market,안전자산,KRX,10060.0,4042,-0.0992
490490,SOL 미국배당미국채혼합50,7,mixed_bond,안전자산,KRX,11398.0,4041,6.224
295040,SOL 200TR,1,domestic_equity,위험자산,KRX,31134.0,4023,38.6202
277630,TIGER 코스피,1,domestic_equity,위험자산,KRX,58025.0,4007,32.512
478150,TIME 글로벌우주테크&방산액티브,4,overseas_equity,위험자산,Global,22078.0,4007,7.3624
0122W0,RISE 26-11 회사채(AA-이상)액티브,6,bond_money_market,안전자산,KRX,50380.0,3998,0.7199
361580,RISE 200TR,1,domestic_equity,위험자산,KRX,47158.0,3990,38.5638
241180,TIGER 일본니케이225,4,overseas_equity,위험자산,Japan,29460.0,3973,1.7199
0023A0,SOL 미국양자컴퓨팅TOP10,4,overseas_equity,위험자산,USA,22524.0,3910,-23.403
461490,RISE 글로벌자산배분액티브,7,mixed_bond,안전자산,KRX,14585.0,3853,-2.3091
157500,TIGER 증권,2,domestic_theme,위험자산,KRX,17235.0,3828,66.0476
139230,TIGER 200 중공업,2,domestic_theme,위험자산,KRX,15297.0,3780,8.8373
307520,TIGER 지주회사,2,domestic_theme,위험자산,KRX,20120.0,3766,22.529
279530,KODEX 고배당주,2,domestic_theme,위험자산,KRX,17336.0,3753,20.3071
453810,KODEX 인도Nifty50,4,overseas_equity,위험자산,India,12344.0,3744,-15.8291
302450,RISE 코스피,1,domestic_equity,위험자산,KRX,57896.0,3735,32.5308
484880,SOL 금융지주플러스고배당,2,domestic_theme,위험자산,KRX,20515.0,3719,18.166
442580,PLUS 글로벌HBM반도체,4,overseas_equity,위험자산,USA,62469.0,3701,49.9755
0053L0,TIGER 차이나휴머노이드로봇,4,overseas_equity,위험자산,China,11874.0,3652,-5.8806
0016X0,SOL 중단기회사채(A-이상)액티브,6,bond_money_market,안전자산,KRX,50774.0,3623,0.2765
439870,KODEX 국고채30년액티브,6,bond_money_market,안전자산,KRX,100466.0,3592,-7.9479
